conditioning,order
"Order information
• item15, right? 318? You can do it by May 13th, 2021, and the unit price is 25,870 won. Oh, and the inspection product.
• Oh, I just got the item16 drawing, and it says it's due on May 24th, 2021. I need to do 383 of them, and it costs 16,229 won, and it's an inspection item.
• There, I need to do 19 drawings for item96. It's until May 30th, 2021. It's 8,333 won. And nothing special.
• Hey, look quickly. item91 4 I have to do it by June 3rd, 2021. What should I do? The unit price is 36,533 won and there's nothing special about it.
• item87, right? Doing 196? You can do it until June 18th, 2021, and the unit price is 45,500 won. Oh, and the inspection product

Machine information
• item15 machine04 12.84
• item15 machine05 10.42
• item15 machine07 8.69
• item15 machine08 9.12
• item15 machine09 10.33
• item15 machine10 8.99
• item15 machine12 12.32
• item15 machine14 11.23
• item15 machine20 4.0
• item15 machine21 9.87
• item15 machine23 11.77
• item15 machine28 9.54
• item15 machine29 13.05
• item15 machine30 9.0
• item15 machine31 9.0
• item15 machine33 4.4
• item15 machine34 12.47
• item15 machine35 9.4
• item16 machine07 4.85
• item16 machine08 3.83
• item16 machine09 5.37
• item16 machine10 3.09
• item16 machine14 2.73
• item16 machine21 3.94
• item16 machine22 5.47
• item16 machine23 6.25
• item16 machine28 3.37
• item16 machine29 3.86
• item16 machine30 3.8
• item16 machine31 4.53
• item16 machine35 3.85
• item96 machine08 4.89
• item96 machine09 5.92
• item96 machine10 4.91
• item96 machine12 3.5
• item96 machine14 1.03
• item96 machine21 4.6
• item96 machine22 4.54
• item96 machine23 3.83
• item96 machine28 4.64
• item96 machine29 7.12
• item96 machine30 1.32
• item96 machine34 3.0
• item96 machine35 1.83
• item91 machine08 4.42
• item91 machine09 4.03
• item91 machine10 5.32
• item91 machine14 4.0
• item91 machine21 4.8
• item91 machine28 4.33
• item91 machine29 5.32
• item91 machine34 5.25
• item91 machine35 4.5
• item87 machine01 5.88
• item87 machine03 6.5
• item87 machine05 11.64
• item87 machine17 12.0
• item87 machine18 11.82
• item87 machine19 10.0
• item87 machine20 11.37
• item87 machine21 7.85
• item87 machine32 5.49
• item87 machine33 6.9","• item87 machine01 date169 17
• item87 machine03 date169 63
• item87 machine18 date169 21
• item87 machine20 date169 26
• item87 machine33 date169 41
• item96 machine08 date150 13
• item96 machine09 date150 13
• item96 machine10 date150 14
• item96 machine12 date150 17
• item96 machine14 date150 5
• item96 machine21 date150 9
• item96 machine22 date150 15
• item96 machine23 date150 12
• item96 machine28 date150 14
• item96 machine29 date150 5
• item96 machine30 date150 15
• item96 machine34 date150 13
• item96 machine35 date150 8
• item91 machine09 date154 4
• item91 machine10 date154 3
• item91 machine14 date154 1
• item91 machine21 date154 2
• item91 machine28 date154 1
• item91 machine29 date154 1
• item91 machine34 date154 1
• item91 machine35 date154 2
• item16 machine14 date144 35
• item16 machine22 date144 85
• item16 machine28 date144 160
• item16 machine30 date144 47
• item16 machine31 date144 21
• item16 machine35 date144 31
• item15 machine10 date133 55
• item15 machine12 date133 27
• item15 machine20 date133 79
• item15 machine28 date133 39
• item15 machine31 date133 31
• item15 machine33 date133 59
• item15 machine34 date133 26"
"Order information
• Oh, I just got the item16 drawing, and it says it's due on May 24th, 2021. I need to do 383 of them, and it costs 16,229 won, and it's an inspection item.
• There, I need to do 19 drawings for item96. It's until May 30th, 2021. It's 8,333 won. And nothing special.
• Hey, look quickly. item91 4 I have to do it by June 3rd, 2021. What should I do? The unit price is 36,533 won and there's nothing special about it.
• item87, right? Doing 196? You can do it until June 18th, 2021, and the unit price is 45,500 won. Oh, and the inspection product
• Look at this. They want 85 item20s, but they say it's due by June 18, 2021. 57,641 won, inspection item.

Machine information
• item16 machine07 4.85
• item16 machine08 3.83
• item16 machine09 5.37
• item16 machine10 3.09
• item16 machine14 2.73
• item16 machine21 3.94
• item16 machine22 5.47
• item16 machine23 6.25
• item16 machine28 3.37
• item16 machine29 3.86
• item16 machine30 3.8
• item16 machine31 4.53
• item16 machine35 3.85
• item96 machine08 4.89
• item96 machine09 5.92
• item96 machine10 4.91
• item96 machine12 3.5
• item96 machine14 1.03
• item96 machine21 4.6
• item96 machine22 4.54
• item96 machine23 3.83
• item96 machine28 4.64
• item96 machine29 7.12
• item96 machine30 1.32
• item96 machine34 3.0
• item96 machine35 1.83
• item91 machine08 4.42
• item91 machine09 4.03
• item91 machine10 5.32
• item91 machine14 4.0
• item91 machine21 4.8
• item91 machine28 4.33
• item91 machine29 5.32
• item91 machine34 5.25
• item91 machine35 4.5
• item20 machine01 5.54
• item20 machine02 10.0
• item20 machine03 6.97
• item20 machine05 7.92
• item20 machine06 6.5
• item20 machine14 8.65
• item20 machine16 6.0
• item20 machine17 7.27
• item20 machine18 12.16
• item20 machine19 4.4
• item20 machine20 6.89
• item20 machine32 6.09
• item20 machine33 5.18
• item87 machine01 5.88
• item87 machine03 6.5
• item87 machine05 11.64
• item87 machine17 12.0
• item87 machine18 11.82
• item87 machine19 10.0
• item87 machine20 11.37
• item87 machine21 7.85
• item87 machine32 5.49
• item87 machine33 6.9","• item87 machine03 date169 53
• item87 machine20 date169 19
• item87 machine21 date169 71
• item96 machine08 date150 6
• item96 machine09 date150 9
• item96 machine10 date150 16
• item96 machine12 date150 13
• item96 machine14 date150 14
• item96 machine21 date150 12
• item96 machine23 date150 12
• item96 machine28 date150 11
• item96 machine29 date150 9
• item96 machine30 date150 9
• item96 machine34 date150 18
• item91 machine08 date154 4
• item91 machine09 date154 3
• item91 machine10 date154 3
• item91 machine14 date154 1
• item91 machine21 date154 4
• item91 machine28 date154 3
• item91 machine29 date154 1
• item91 machine34 date154 4
• item91 machine35 date154 2
• item16 machine08 date144 115
• item16 machine10 date144 73
• item16 machine29 date144 30
• item16 machine30 date144 60
• item16 machine31 date144 75
• item16 machine35 date144 13
• item20 machine03 date169 7
• item20 machine06 date169 34
• item20 machine16 date169 33
• item20 machine20 date169 2"
