영업납기,중산도면,단가,수량,선급
2021-05-13,K04033,25870,318,검사품
2021-05-13,K04031,16229,383,검사품
2021-05-13,051718,8333,19,
2021-05-13,056984,36533,4,
2021-05-13,057791,45500,196,검사품
2021-06-19,K03948,57641,85,검사품
2021-06-19,S00341,2990,500,
2021-06-19,052996,20000,2,
2021-06-19,S00341,2990,500,
2021-06-19,S00341,2990,500,
2021-05-10,S00341,2990,398,
2021-05-10,066157,18500,208,검사품
2021-05-10,K04101,15640,15,
2021-05-10,052996,20000,2,
2021-05-10,S00271,4000,150,
2021-06-01,057386,22750,144,DNVGL/W
2021-06-01,064421,366680,2,
2021-06-01,062138,18563,20,
2021-06-01,056984,14835,4,
2021-06-01,057791,42810,216,검사품
2021-06-04,069559,242250,28,검사품
2021-06-04,058039,23740,64,
2021-06-04,061088,11500,48,
2021-06-04,059046,7752,5,
2021-06-04,K04033,25870,318,검사품
2021-06-10,S00033,5050,178,
2021-06-10,064056,8134,24,
2021-06-10,069769,64130,42,
2021-06-10,069770,64130,42,
2021-06-10,K04003,17794,40,BV/W
2021-06-11,K04005,24418,40,BV/W
2021-06-11,S00034,3452,188,
2021-06-11,K03115,26719,30,
2021-06-11,063342,24360,72,
2021-06-11,K03115,26719,28,
2021-06-15,063414,20475,72,
2021-06-15,062872,86940,20,
2021-06-15,059083,8226,24,
2021-06-15,Z00807,10450,300,
2021-06-15,K01682,53798,5,LR
2021-06-17,053695,33984,6,
2021-06-17,K01937,72993,6,
2021-06-17,060711,29900,24,
2021-06-17,K03961,19300,2,검사품
2021-06-17,Z01343,16231,8,
2021-06-18,057386,24418,200,BV/W
2021-06-18,063865,20054,47,
2021-06-18,062716,27590,120,검사품
2021-06-18,062953,23500,160,검사품
2021-06-18,061864,37650,42,
2021-06-22,S00371,32450,56,
2021-06-22,K05273,9546,16,
2021-06-22,K01618,17050,8,
2021-06-22,K01866,25840,25,
2021-06-22,S00036,4845,138,
2021-06-23,S00045,6295,52,
2021-06-23,061102,12500,240,검사품
2021-06-23,Z00140,13960,400,검사품
2021-06-23,069400,7600,70,
2021-06-23,066038,42940,20,
2021-06-26,066074,8835,44,
2021-06-26,069494,27039,40,
2021-06-26,069559,242250,32,검사품
2021-06-26,K00563,95000,16,
2021-06-26,K00562,7500,16,
2021-06-29,061609,11900,33,
2021-06-29,058045,246800,64,
2021-06-29,067921,39200,12,
2021-06-29,057791,40973,200,검사품
2021-06-29,063473,26140,72,
2021-06-30,067820,23362,716,검사품
2021-06-30,062953,23500,194,검사품
2021-06-30,K03894,60000,66,ABS-W
2021-06-30,065848,44732,18,
2021-06-30,062732,32000,2,
2021-07-01,057387,21160,400,
2021-07-01,057386,28520,400,
2021-07-01,056587,12740,20,
2021-07-01,057045,21260,10,
2021-07-01,057387,16100,144,ABS/W
2021-07-02,K04046,9416,370,검사품
2021-07-02,057386,22750,144,ABS/W
2021-07-02,069159,481190,52,AB/W 
2021-07-02,066736,11500,42,
2021-07-02,069196,10220,80,
2021-07-05,057791,40973,204,검사품
2021-07-05,068898,9170,128,
2021-07-05,067447,8000,66,
2021-07-05,066496,266000,5,
2021-07-05,066796,11000,240,
2021-07-06,064192,17684,20,
2021-07-06,059988,166250,24,검사품
2021-07-06,K03899,22005,396,검사품
2021-07-06,K03894,60000,46,DNGL-W
2021-07-06,069559,242250,15,검사품
2021-07-09,057386,24418,84,LR/W
2021-07-09,057387,17794,84,LR/W
2021-07-09,057386,24418,116,BV/W
2021-07-09,057387,17794,116,BV/W
2021-07-09,057791,40973,208,검사품
2021-07-10,S00033,5303,210,
2021-07-10,067667,21360,44,
2021-07-10,068678,11602,8,
2021-07-10,065961,12400,48,
2021-07-10,056264,13030,48,
2021-07-12,070230,17436,90,
2021-07-12,069159,481190,52,AB/W 
2021-07-12,063082,17836,40,
2021-07-12,069163,31160,28,AB/W 
2021-07-12,062432,44803,4,
2021-07-14,059991,36575,48,
2021-07-14,061606,14448,72,검사품
2021-07-14,062330,13099,40,
2021-07-14,K04037,7810,430,검사품
2021-07-14,Z00807,10450,300,
2021-07-16,064757,20343,8,
2021-07-16,062185,47900,12,
2021-07-16,069478,19200,24,
2021-07-16,061218,35100,20,
2021-07-16,058797,34000,24,DG/W
2021-07-26,058797,34000,24,ABS/W
2021-07-26,K03887,20957,40,검사품
2021-07-26,Z00807,10450,300,
2021-07-26,069559,242250,28,검사품
2021-07-26,K00614,6750,12,
2021-08-31,K04037,7810,400,검사품
2021-08-31,Z00807,10450,325,